diametro_rosca,diametro_haste,diametro_raiz,comprimento,class
5.2,3.4,1.0,0.3,SEXTAVADO
4.9,3.0,1.0,0.3,SEXTAVADO
4.7,3.2,1.3,0.3,SEXTAVADO
4.6,3.1,1.5,0.3,SEXTAVADO
5.0,3.6,1.0,0.3,SEXTAVADO
5.4,3.9,1.7,0.4,SEXTAVADO
4.6,3.4,1.0,0.3,SEXTAVADO
5.0,3.4,1.5,0.3,SEXTAVADO
4.4,2.9,1.0,0.3,SEXTAVADO
4.9,3.1,1.5,0.1,SEXTAVADO
5.4,3.7,1.5,0.3,SEXTAVADO
4.8,3.4,1.6,0.3,SEXTAVADO
4.8,3.0,1.0,0.1,SEXTAVADO
4.3,3.0,1.1,0.1,SEXTAVADO
5.8,4.0,1.2,0.3,SEXTAVADO
5.7,4.4,1.5,0.4,SEXTAVADO
5.4,3.9,1.3,0.4,SEXTAVADO
5.2,3.4,1.0,0.3,SEXTAVADO
5.7,3.8,1.7,0.3,SEXTAVADO
5.2,3.8,1.5,0.3,SEXTAVADO
5.4,3.4,1.7,0.3,SEXTAVADO
5.2,3.7,1.5,0.4,SEXTAVADO
4.6,3.6,1.0,0.3,SEXTAVADO
5.2,3.3,1.7,0.5,SEXTAVADO
4.8,3.4,1.9,0.3,SEXTAVADO
5.0,3.0,1.6,0.3,SEXTAVADO
5.0,3.4,1.6,0.4,SEXTAVADO
5.2,3.4,1.5,0.3,SEXTAVADO
5.2,3.4,1.0,0.3,SEXTAVADO
4.7,3.2,1.6,0.3,SEXTAVADO
4.8,3.1,1.6,0.3,SEXTAVADO
5.4,3.4,1.5,0.4,SEXTAVADO
5.2,4.1,1.5,0.1,SEXTAVADO
5.5,4.2,1.0,0.3,SEXTAVADO
4.9,3.1,1.5,0.1,SEXTAVADO
5.0,3.2,1.2,0.3,SEXTAVADO
5.5,3.4,1.3,0.3,SEXTAVADO
4.9,3.1,1.5,0.1,SEXTAVADO
4.4,3.0,1.3,0.3,SEXTAVADO
5.2,3.4,1.5,0.3,SEXTAVADO
5.0,3.4,1.3,0.3,SEXTAVADO
4.5,2.3,1.3,0.3,SEXTAVADO
4.4,3.2,1.3,0.3,SEXTAVADO
5.0,3.4,1.6,0.6,SEXTAVADO
5.2,3.8,1.9,0.4,SEXTAVADO
4.8,3.0,1.0,0.3,SEXTAVADO
5.2,3.8,1.6,0.3,SEXTAVADO
4.6,3.2,1.0,0.3,SEXTAVADO
5.3,3.7,1.5,0.3,SEXTAVADO
